Date : 2020-05-12 12:51:32
Directory : /Users/marcdertiger/Projects/DistanceNB
Total : 112 files,  3780 codes, 377 comments, 713 blanks, all 4870 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| android/app/src/main/java/com/distancenb                                                                             |          4 |        127 |         21 |         35 |        183 |
| android/app/src/main/res                                                                                             |          2 |          8 |          2 |          4 |         14 |
| android/app/src/main/res/values                                                                                      |          2 |          8 |          2 |          4 |         14 |
| android/gradle                                                                                                       |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                               |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                  |          9 |        228 |         13 |         47 |        288 |
| ios/DistanceNB                                                                                                       |          6 |        161 |          0 |         21 |        182 |
| ios/DistanceNB/Base.lproj                                                                                            |          1 |         42 |          0 |          1 |         43 |
| ios/DistanceNB/Images.xcassets                                                                                       |          2 |         59 |          0 |          2 |         61 |
| ios/DistanceNB/Images.xcassets/AppIcon.appiconset                                                                    |          1 |         53 |          0 |          1 |         54 |
| ios/DistanceNBTests                                                                                                  |          1 |         51 |          0 |         15 |         66 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                             | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/marcdertiger/Projects/DistanceNB/.eslintrc.js                                                                 | JavaScript       |          6 |          0 |          1 |          7 |
| /Users/marcdertiger/Projects/DistanceNB/.gitattributes                                                               | Properties       |          1 |          0 |          1 |          2 |
| /Users/marcdertiger/Projects/DistanceNB/.gitlab-ci.yml                                                               | YAML             |         22 |          0 |          5 |         27 |
| /Users/marcdertiger/Projects/DistanceNB/.prettierrc.js                                                               | JavaScript       |          6 |          0 |          1 |          7 |
| /Users/marcdertiger/Projects/DistanceNB/.watchmanconfig                                                              | JSON             |          1 |          0 |          0 |          1 |
| /Users/marcdertiger/Projects/DistanceNB/App.tsx                                                                      | TypeScript React |         20 |          9 |          8 |         37 |
| /Users/marcdertiger/Projects/DistanceNB/App/Api/Mappers/exposureKeysMapper.js                                        | JavaScript       |         10 |          0 |          5 |         15 |
| /Users/marcdertiger/Projects/DistanceNB/App/Api/Mappers/oneTimeCodeMapper.js                                         | JavaScript       |         10 |          0 |          5 |         15 |
| /Users/marcdertiger/Projects/DistanceNB/App/Api/api.js                                                               | JavaScript       |         48 |          1 |         15 |         64 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/Checkbox.js                                                   | JavaScript       |         15 |          0 |          4 |         19 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/Divider.js                                                    | JavaScript       |         11 |          0 |          3 |         14 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/FullScreenModal.js                                            | JavaScript       |         78 |          7 |         11 |         96 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/LanguageButtons.js                                            | JavaScript       |         23 |          0 |          4 |         27 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/MenuList.js                                                   | JavaScript       |         42 |          6 |          7 |         55 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/PaginationDots.js                                             | JavaScript       |        137 |          5 |         24 |        166 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/RoundedButton.js                                              | JavaScript       |         35 |          0 |          5 |         40 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/Styles/Checkbox.styles.js                                     | JavaScript       |          8 |          0 |          2 |         10 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/Styles/Divider.styles.js                                      | JavaScript       |         10 |          0 |          2 |         12 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/Styles/FullScreenModal.styles.js                              | JavaScript       |         24 |          0 |          3 |         27 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/Styles/LanguageButtons.js                                     | JavaScript       |         19 |          0 |          2 |         21 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/Styles/MenuList.styles.js                                     | JavaScript       |         27 |          0 |          3 |         30 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/Styles/PaginationDots.styles.js                               | JavaScript       |          9 |          0 |          3 |         12 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/Styles/RoundedButton.styles.js                                | JavaScript       |         46 |          4 |          2 |         52 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/Styles/TextButton.styles.js                                   | JavaScript       |         26 |          0 |          3 |         29 |
| /Users/marcdertiger/Projects/DistanceNB/App/Components/TextButton.js                                                 | JavaScript       |         26 |          0 |          4 |         30 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Help.js                                                   | JavaScript       |         46 |          1 |         10 |         57 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Home.js                                                   | JavaScript       |         76 |         16 |         17 |        109 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Modals/DidNotReceiveCode.js                               | JavaScript       |         30 |          1 |          4 |         35 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Modals/ViewPrivacyPolicy.js                               | JavaScript       |         30 |          1 |          4 |         35 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/More.js                                                   | JavaScript       |         46 |          4 |         11 |         61 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Notifications.js                                          | JavaScript       |         27 |          1 |          7 |         35 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/NotifyOthersCode.js                                       | JavaScript       |         59 |          1 |          8 |         68 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/NotifyOthersCompleted.js                                  | JavaScript       |         40 |          1 |          7 |         48 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/NotifyOthersEntry.js                                      | JavaScript       |         47 |          1 |          3 |         51 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Privacy.js                                                | JavaScript       |         53 |          1 |         11 |         65 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/Help.styles.js                                     | JavaScript       |         23 |          0 |          3 |         26 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/Home.styles.js                                     | JavaScript       |         27 |          0 |          3 |         30 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/More.styles.js                                     | JavaScript       |         23 |          0 |          3 |         26 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/Notifications.styles.js                            | JavaScript       |         14 |          0 |          3 |         17 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/NotifyOthersCode.styles.js                         | JavaScript       |         25 |          0 |          4 |         29 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/NotifyOthersCompleted.styles.js                    | JavaScript       |         24 |          0 |          3 |         27 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/NotifyOthersEntry.styles.js                        | JavaScript       |         14 |          4 |          3 |         21 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/Privacy.styles.js                                  | JavaScript       |         23 |          0 |          3 |         26 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/App/TestApi.js                                                | JavaScript       |        169 |          2 |         33 |        204 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/APIUseIntro.js                                     | JavaScript       |         28 |          1 |          6 |         35 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/ExposureAlertIntro.js                              | JavaScript       |         28 |          1 |          6 |         35 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/LanguageIntro.js                                   | JavaScript       |         45 |          2 |          6 |         53 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/OnboardingRoot.js                                  | JavaScript       |        117 |          4 |         17 |        138 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/ProtectPrivacyIntro.js                             | JavaScript       |         28 |          1 |          6 |         35 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/Styles/Language.styles.js                          | JavaScript       |         26 |          0 |          3 |         29 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/Styles/OnboardingPages.styles.js                   | JavaScript       |         23 |          0 |          3 |         26 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/Styles/OnboardingRoot.styles.js                    | JavaScript       |         45 |          0 |          3 |         48 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/TogetherAcceptTermsIntro.js                        | JavaScript       |         55 |          1 |         10 |         66 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Setup/BluetoothPermissionsSetup.js                            | JavaScript       |         43 |          4 |         11 |         58 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Setup/NotificationsPermissionsSetup.js                        | JavaScript       |         59 |          4 |         14 |         77 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Setup/SetupRoot.js                                            | JavaScript       |          0 |          0 |          1 |          1 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Setup/Styles/SetupPages.styles.js                             | JavaScript       |         23 |          0 |          3 |         26 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Styles/Placeholder.styles.js                                  | JavaScript       |         18 |          0 |          2 |         20 |
| /Users/marcdertiger/Projects/DistanceNB/App/Containers/Styles/RootContainer.styles.js                                | JavaScript       |         23 |          0 |          2 |         25 |
| /Users/marcdertiger/Projects/DistanceNB/App/Env/env.js                                                               | JavaScript       |         10 |          2 |          2 |         14 |
| /Users/marcdertiger/Projects/DistanceNB/App/Env/env.template.js                                                      | JavaScript       |         10 |          2 |          2 |         14 |
| /Users/marcdertiger/Projects/DistanceNB/App/I18n/I18n.js                                                             | JavaScript       |         36 |         10 |          8 |         54 |
| /Users/marcdertiger/Projects/DistanceNB/App/I18n/Languages/en.json                                                   | JSON             |         60 |          0 |         12 |         72 |
| /Users/marcdertiger/Projects/DistanceNB/App/I18n/Languages/fr.json                                                   | JSON             |         60 |          0 |         10 |         70 |
| /Users/marcdertiger/Projects/DistanceNB/App/Model/exposureKey.js                                                     | JavaScript       |          6 |          0 |          1 |          7 |
| /Users/marcdertiger/Projects/DistanceNB/App/Model/oneTimeCode.js                                                     | JavaScript       |          7 |          0 |          1 |          8 |
| /Users/marcdertiger/Projects/DistanceNB/App/Navigation/AppNavigator.js                                               | JavaScript       |        132 |          1 |         17 |        150 |
| /Users/marcdertiger/Projects/DistanceNB/App/Redux/Actions/api.js                                                     | JavaScript       |         93 |         21 |         18 |        132 |
| /Users/marcdertiger/Projects/DistanceNB/App/Redux/Reducers/api.js                                                    | JavaScript       |        101 |          0 |          5 |        106 |
| /Users/marcdertiger/Projects/DistanceNB/App/Redux/Reducers/index.js                                                  | JavaScript       |          5 |          0 |          2 |          7 |
| /Users/marcdertiger/Projects/DistanceNB/App/Redux/store.js                                                           | JavaScript       |         20 |          0 |          7 |         27 |
| /Users/marcdertiger/Projects/DistanceNB/App/RootContainer.js                                                         | JavaScript       |         37 |          3 |          8 |         48 |
| /Users/marcdertiger/Projects/DistanceNB/App/Themes/ApplicationStyles.js                                              | JavaScript       |        121 |         17 |          4 |        142 |
| /Users/marcdertiger/Projects/DistanceNB/App/Themes/Colors.js                                                         | JavaScript       |         27 |          0 |          2 |         29 |
| /Users/marcdertiger/Projects/DistanceNB/App/Themes/Fonts.js                                                          | JavaScript       |         64 |          0 |          5 |         69 |
| /Users/marcdertiger/Projects/DistanceNB/App/Themes/Images.js                                                         | JavaScript       |          9 |          1 |          3 |         13 |
| /Users/marcdertiger/Projects/DistanceNB/App/Themes/Metrics.js                                                        | JavaScript       |         38 |          1 |          4 |         43 |
| /Users/marcdertiger/Projects/DistanceNB/App/Themes/index.js                                                          | JavaScript       |          6 |          0 |          2 |          8 |
| /Users/marcdertiger/Projects/DistanceNB/App/Utils/ShareApp.js                                                        | JavaScript       |         33 |          3 |          4 |         40 |
| /Users/marcdertiger/Projects/DistanceNB/README.md                                                                    | Markdown         |         95 |          0 |         58 |        153 |
| /Users/marcdertiger/Projects/DistanceNB/__tests__/App-test.tsx                                                       | TypeScript React |          7 |          4 |          4 |         15 |
| /Users/marcdertiger/Projects/DistanceNB/android/app/build.gradle                                                     | Groovy           |         93 |        114 |         26 |        233 |
| /Users/marcdertiger/Projects/DistanceNB/android/app/src/debug/AndroidManifest.xml                                    | XML              |          6 |          0 |          3 |          9 |
| /Users/marcdertiger/Projects/DistanceNB/android/app/src/debug/java/com/distancenb/ReactNativeFlipper.java            | Java             |         59 |          8 |          6 |         73 |
| /Users/marcdertiger/Projects/DistanceNB/android/app/src/main/AndroidManifest.xml                                     | XML              |         24 |          0 |          4 |         28 |
| /Users/marcdertiger/Projects/DistanceNB/android/app/src/main/java/com/distancenb/MainActivity.java                   | Java             |          8 |          4 |          4 |         16 |
| /Users/marcdertiger/Projects/DistanceNB/android/app/src/main/java/com/distancenb/MainApplication.java                | Java             |         66 |         14 |         10 |         90 |
| /Users/marcdertiger/Projects/DistanceNB/android/app/src/main/java/com/distancenb/RNContactTracingAndroid.java        | Java             |         32 |          2 |         12 |         46 |
| /Users/marcdertiger/Projects/DistanceNB/android/app/src/main/java/com/distancenb/RNContactTracingAndroidManager.java | Java             |         21 |          1 |          9 |         31 |
| /Users/marcdertiger/Projects/DistanceNB/android/app/src/main/res/values/strings.xml                                  | XML              |          3 |          0 |          1 |          4 |
| /Users/marcdertiger/Projects/DistanceNB/android/app/src/main/res/values/styles.xml                                   | XML              |          5 |          2 |          3 |         10 |
| /Users/marcdertiger/Projects/DistanceNB/android/build.gradle                                                         | Groovy           |         29 |          5 |          5 |         39 |
| /Users/marcdertiger/Projects/DistanceNB/android/gradle.properties                                                    | Properties       |          3 |         19 |          7 |         29 |
| /Users/marcdertiger/Projects/DistanceNB/android/gradle/wrapper/gradle-wrapper.properties                             | Properties       |          5 |          0 |          1 |          6 |
| /Users/marcdertiger/Projects/DistanceNB/android/gradlew.bat                                                          | Batch            |         76 |          0 |         25 |        101 |
| /Users/marcdertiger/Projects/DistanceNB/android/settings.gradle                                                      | Groovy           |         15 |          0 |          1 |         16 |
| /Users/marcdertiger/Projects/DistanceNB/app.json                                                                     | JSON             |          4 |          0 |          0 |          4 |
| /Users/marcdertiger/Projects/DistanceNB/babel.config.js                                                              | JavaScript       |          3 |          0 |          1 |          4 |
| /Users/marcdertiger/Projects/DistanceNB/index.js                                                                     | JavaScript       |          4 |          3 |          3 |         10 |
| /Users/marcdertiger/Projects/DistanceNB/ios/DistanceNB/AppDelegate.h                                                 | C++              |          5 |          0 |          4 |          9 |
| /Users/marcdertiger/Projects/DistanceNB/ios/DistanceNB/AppDelegate.m                                                 | Objective-C      |         48 |          0 |         11 |         59 |
| /Users/marcdertiger/Projects/DistanceNB/ios/DistanceNB/Base.lproj/LaunchScreen.xib                                   | XML              |         42 |          0 |          1 |         43 |
| /Users/marcdertiger/Projects/DistanceNB/ios/DistanceNB/Images.xcassets/AppIcon.appiconset/Contents.json              | JSON             |         53 |          0 |          1 |         54 |
| /Users/marcdertiger/Projects/DistanceNB/ios/DistanceNB/Images.xcassets/Contents.json                                 | JSON             |          6 |          0 |          1 |          7 |
| /Users/marcdertiger/Projects/DistanceNB/ios/DistanceNB/main.m                                                        | Objective-C      |          7 |          0 |          3 |         10 |
| /Users/marcdertiger/Projects/DistanceNB/ios/DistanceNBTests/DistanceNBTests.m                                        | Objective-C      |         51 |          0 |         15 |         66 |
| /Users/marcdertiger/Projects/DistanceNB/ios/RNContactTracingios.h                                                    | C++              |          3 |          6 |          3 |         12 |
| /Users/marcdertiger/Projects/DistanceNB/ios/RNContactTracingios.m                                                    | Objective-C      |         13 |          7 |          8 |         28 |
| /Users/marcdertiger/Projects/DistanceNB/metro.config.js                                                              | JavaScript       |         10 |          6 |          2 |         18 |
| /Users/marcdertiger/Projects/DistanceNB/package.json                                                                 | JSON             |         66 |          0 |          1 |         67 |
| /Users/marcdertiger/Projects/DistanceNB/react-native.config.js                                                       | JavaScript       |          7 |          0 |          0 |          7 |
| /Users/marcdertiger/Projects/DistanceNB/tsconfig.json                                                                | JSON             |         19 |         37 |          7 |         63 |
| Total                                                                                                                |                  |      3,780 |        377 |        713 |      4,870 |
+----------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
